Frame,Wavelength,Intensity
1,661.93187502224248,598
1,661.99703623401865,596
1,662.062195564123,597
1,662.12735301046348,584
1,662.19250857094789,579
1,662.25766224348376,579
1,662.32281402597869,590
1,662.38796391634037,585
1,662.45311191247572,577
1,662.51825801229245,586
1,662.58340221369781,586
1,662.64854451459894,583
1,662.71368491290275,584
1,662.77882340651649,583
1,662.843959993347,581
1,662.9090946713012,590
1,662.97422743828577,584
1,663.03935829220745,594
1,663.10448723097306,586
1,663.16961425248894,586
1,663.23473935466177,578
1,663.29986253539778,583
1,663.36498379260343,587
1,663.430103124185,587
1,663.49522052804855,582
1,663.56033600210037,586
1,663.62544954424629,591
1,663.69056115239255,586
1,663.75567082444491,577
1,663.82077855830914,576
1,663.885884351891,587
1,663.95098820309636,574
1,664.01609010983066,584
1,664.08119006999948,579
1,664.14628808150826,592
1,664.21138414226243,576
1,664.27647825016732,588
1,664.34157040312812,589
1,664.40666059905016,581
1,664.47174883583853,581
1,664.53683511139832,581
1,664.60191942363429,586
1,664.66700177045141,587
1,664.73208214975477,587
1,664.7971605594488,589
1,664.86223699743846,581
1,664.92731146162851,585
1,664.99238394992312,588
1,665.05745446022706,580
1,665.12252299044485,586
1,665.18758953848055,592
1,665.25265410223858,587
1,665.31771667962346,592
1,665.382777268539,590
1,665.44783586688959,591
1,665.5128924725791,580
1,665.5779470835115,588
1,665.64299969759088,583
1,665.708050312721,579
1,665.77309892680557,588
1,665.83814553774835,585
1,665.90319014345312,589
1,665.96823274182339,595
1,666.03327333076265,586
1,666.09831190817442,576
1,666.16334847196219,585
1,666.22838302002924,588
1,666.29341555027884,594
1,666.35844606061426,582
1,666.42347454893866,588
1,666.4885010131552,588
1,666.55352545116682,583
1,666.61854786087656,586
1,666.68356824018724,585
1,666.74858658700191,589
1,666.81360289922338,576
1,666.87861717475425,588
1,666.94362941149745,587
1,667.00863960735535,589
1,667.07364776023064,579
1,667.13865386802581,588
1,667.20365792864334,573
1,667.2686599399857,593
1,667.33365989995514,578
1,667.39865780645391,582
1,667.4636536573845,576
1,667.5286474506488,576
1,667.59363918414908,587
1,667.65862885578747,583
1,667.72361646346587,583
1,667.78860200508609,587
1,667.85358547855026,586
1,667.9185668817604,584
1,667.983546212618,580
1,668.04852346902476,594
1,668.11349864888268,590
1,668.17847175009308,583
1,668.24344277055775,577
1,668.30841170817826,589
1,668.37337856085583,574
1,668.43834332649215,591
1,668.50330600298855,585
1,668.56826658824616,584
1,668.63322508016654,596
1,668.6981814766508,583
1,668.76313577560006,580
1,668.82808797491532,581
1,668.893038072498,586
1,668.95798606624885,583
1,669.02293195406912,576
1,669.08787573385951,582
1,669.15281740352077,586
1,669.21775696095415,588
1,669.28269440406007,577
1,669.34762973073941,588
1,669.41256293889285,581
1,669.477494026421,580
1,669.5424229912245,592
1,669.60734983120392,583
1,669.67227454425972,587
1,669.73719712829234,584
1,669.8021175812022,579
1,669.86703590088973,584
1,669.93195208525515,581
1,669.99686613219876,579
1,670.06177803962089,587
1,670.12668780542174,580
1,670.19159542750128,589
1,670.25650090375984,588
1,670.321404232097,591
1,670.38630541041346,581
1,670.45120443660869,580
1,670.516101308583,578
1,670.5809960242359,587
1,670.64588858146737,591
1,670.71077897817736,581
1,670.77566721226549,586
1,670.84055328163151,588
1,670.90543718417507,586
1,670.97031891779591,584
1,671.03519848039355,586
1,671.10007586986762,582
1,671.16495108411755,590
1,671.22982412104284,587
1,671.29469497854313,582
1,671.35956365451761,584
1,671.42443014686569,587
1,671.48929445348676,583
1,671.55415657228,585
1,671.61901650114487,581
1,671.68387423798038,581
1,671.74872978068584,589
1,671.81358312716043,588
1,671.87843427530311,591
1,671.943283223013,580
1,672.00812996818945,587
1,672.07297450873091,583
1,672.13781684253672,580
1,672.20265696750573,578
1,672.267494881537,590
1,672.332330582529,585
1,672.39716406838113,581
1,672.46199533699155,585
1,672.52682438625948,576
1,672.59165121408364,583
1,672.65647581836254,582
1,672.72129819699478,584
1,672.78611834787921,584
1,672.85093626891444,578
1,672.915751957999,588
1,672.9805654130314,583
1,673.04537663191013,588
1,673.11018561253377,580
1,673.1749923528007,589
1,673.23979685060931,583
1,673.3045991038581,588
1,673.36939911044533,587
1,673.43419686826951,581
1,673.49899237522868,573
1,673.56378562922123,593
1,673.62857662814565,587
1,673.69336536989977,574
1,673.75815185238218,581
1,673.82293607349061,580
1,673.88771803112365,581
1,673.952497723179,583
1,674.0172751475551,580
1,674.08205030214981,581
1,674.14682318486132,587
1,674.21159379358755,584
1,674.27636212622633,588
1,674.34112818067592,588
1,674.405891954834,586
1,674.47065344659882,586
1,674.53541265386787,577
1,674.60016957453922,584
1,674.66492420651082,583
1,674.72967654768036,588
1,674.79442659594554,581
1,674.8591743492043,582
1,674.92391980535444,584
1,674.98866296229346,582
1,675.05340381791927,596
1,675.11814237012959,580
1,675.182878616822,590
1,675.24761255589408,586
1,675.31234418524355,581
1,675.377073502768,586
1,675.44180050636487,590
1,675.506525193932,586
1,675.57124756336691,589
1,675.635967612567,593
1,675.70068533942992,592
1,675.76540074185289,581
1,675.83011381773372,585
1,675.89482456496955,585
1,675.95953298145821,580
1,676.02423906509682,582
1,676.08894281378286,579
1,676.15364422541381,586
1,676.218343297887,581
1,676.28304002909977,588
1,676.34773441694938,583
1,676.41242645933335,589
1,676.47711615414892,584
1,676.54180349929345,586
1,676.60648849266408,587
1,676.67117113215818,596
1,676.7358514156731,583
1,676.80052934110586,591
1,676.86520490635382,592
1,676.92987810931425,577
1,676.99454894788437,589
1,677.05921741996133,586
1,677.12388352344226,581
1,677.18854725622441,593
1,677.2532086162048,583
1,677.31786760128091,580
1,677.38252420934941,582
1,677.447178438308,586
1,677.51183028605328,585
1,677.57647975048269,587
1,677.64112682949315,586
1,677.7057715209819,593
1,677.77041382284585,575
1,677.83505373298237,582
1,677.89969124928825,582
1,677.96432636966051,585
1,678.02895909199651,581
1,678.09358941419316,586
1,678.15821733414725,582
1,678.22284284975626,583
1,678.28746595891687,575
1,678.35208665952621,589
1,678.4167049494813,589
1,678.481320826679,582
1,678.54593428901671,574
1,678.61054533439108,588
1,678.67515396069916,594
1,678.73976016583811,580
1,678.8043639477047,589
1,678.868965304196,581
1,678.933564233209,575
1,678.99816073264071,588
1,679.062754800388,579
1,679.127346434348,570
1,679.19193563241765,588
1,679.25652239249382,587
1,679.32110671247335,586
1,679.38568859025349,583
1,679.450268023731,583
1,679.514845010803,590
1,679.57941954936655,587
1,679.64399163731832,579
1,679.70856127255536,586
1,679.77312845297479,582
1,679.83769317647329,582
1,679.902255440948,581
1,679.96681524429619,576
1,680.03137258441427,583
1,680.09592745919952,593
1,680.16047986654894,579
1,680.22502980435934,585
