Frame,Wavelength,Intensity
1,661.93187502224248,620
1,661.99703623401865,610
1,662.062195564123,595
1,662.12735301046348,601
1,662.19250857094789,594
1,662.25766224348376,600
1,662.32281402597869,593
1,662.38796391634037,595
1,662.45311191247572,598
1,662.51825801229245,599
1,662.58340221369781,593
1,662.64854451459894,592
1,662.71368491290275,597
1,662.77882340651649,590
1,662.843959993347,591
1,662.9090946713012,608
1,662.97422743828577,599
1,663.03935829220745,591
1,663.10448723097306,606
1,663.16961425248894,585
1,663.23473935466177,599
1,663.29986253539778,603
1,663.36498379260343,596
1,663.430103124185,605
1,663.49522052804855,597
1,663.56033600210037,593
1,663.62544954424629,593
1,663.69056115239255,588
1,663.75567082444491,595
1,663.82077855830914,602
1,663.885884351891,590
1,663.95098820309636,595
1,664.01609010983066,607
1,664.08119006999948,597
1,664.14628808150826,600
1,664.21138414226243,594
1,664.27647825016732,594
1,664.34157040312812,595
1,664.40666059905016,599
1,664.47174883583853,598
1,664.53683511139832,602
1,664.60191942363429,605
1,664.66700177045141,599
1,664.73208214975477,607
1,664.7971605594488,598
1,664.86223699743846,590
1,664.92731146162851,601
1,664.99238394992312,598
1,665.05745446022706,607
1,665.12252299044485,611
1,665.18758953848055,604
1,665.25265410223858,604
1,665.31771667962346,602
1,665.382777268539,599
1,665.44783586688959,599
1,665.5128924725791,607
1,665.5779470835115,616
1,665.64299969759088,596
1,665.708050312721,597
1,665.77309892680557,607
1,665.83814553774835,601
1,665.90319014345312,599
1,665.96823274182339,609
1,666.03327333076265,590
1,666.09831190817442,604
1,666.16334847196219,610
1,666.22838302002924,603
1,666.29341555027884,607
1,666.35844606061426,604
1,666.42347454893866,624
1,666.4885010131552,616
1,666.55352545116682,602
1,666.61854786087656,606
1,666.68356824018724,612
1,666.74858658700191,625
1,666.81360289922338,616
1,666.87861717475425,613
1,666.94362941149745,605
1,667.00863960735535,606
1,667.07364776023064,604
1,667.13865386802581,619
1,667.20365792864334,628
1,667.2686599399857,616
1,667.33365989995514,598
1,667.39865780645391,614
1,667.4636536573845,602
1,667.5286474506488,606
1,667.59363918414908,588
1,667.65862885578747,594
1,667.72361646346587,601
1,667.78860200508609,593
1,667.85358547855026,593
1,667.9185668817604,595
1,667.983546212618,586
1,668.04852346902476,598
1,668.11349864888268,588
1,668.17847175009308,585
1,668.24344277055775,592
1,668.30841170817826,588
1,668.37337856085583,592
1,668.43834332649215,601
1,668.50330600298855,590
1,668.56826658824616,590
1,668.63322508016654,581
1,668.6981814766508,589
1,668.76313577560006,593
1,668.82808797491532,588
1,668.893038072498,596
1,668.95798606624885,588
1,669.02293195406912,593
1,669.08787573385951,589
1,669.15281740352077,593
1,669.21775696095415,591
1,669.28269440406007,590
1,669.34762973073941,586
1,669.41256293889285,587
1,669.477494026421,590
1,669.5424229912245,594
1,669.60734983120392,595
1,669.67227454425972,591
1,669.73719712829234,594
1,669.8021175812022,572
1,669.86703590088973,585
1,669.93195208525515,596
1,669.99686613219876,593
1,670.06177803962089,599
1,670.12668780542174,591
1,670.19159542750128,598
1,670.25650090375984,609
1,670.321404232097,605
1,670.38630541041346,610
1,670.45120443660869,613
1,670.516101308583,619
1,670.5809960242359,630
1,670.64588858146737,620
1,670.71077897817736,631
1,670.77566721226549,627
1,670.84055328163151,640
1,670.90543718417507,643
1,670.97031891779591,645
1,671.03519848039355,668
1,671.10007586986762,630
1,671.16495108411755,665
1,671.22982412104284,654
1,671.29469497854313,671
1,671.35956365451761,671
1,671.42443014686569,669
1,671.48929445348676,669
1,671.55415657228,693
1,671.61901650114487,672
1,671.68387423798038,673
1,671.74872978068584,679
1,671.81358312716043,672
1,671.87843427530311,674
1,671.943283223013,680
1,672.00812996818945,691
1,672.07297450873091,670
1,672.13781684253672,684
1,672.20265696750573,694
1,672.267494881537,694
1,672.332330582529,710
1,672.39716406838113,687
1,672.46199533699155,689
1,672.52682438625948,689
1,672.59165121408364,685
1,672.65647581836254,698
1,672.72129819699478,699
1,672.78611834787921,688
1,672.85093626891444,711
1,672.915751957999,713
1,672.9805654130314,703
1,673.04537663191013,737
1,673.11018561253377,717
1,673.1749923528007,707
1,673.23979685060931,737
1,673.3045991038581,709
1,673.36939911044533,711
1,673.43419686826951,716
1,673.49899237522868,696
1,673.56378562922123,733
1,673.62857662814565,752
1,673.69336536989977,738
1,673.75815185238218,735
1,673.82293607349061,739
1,673.88771803112365,759
1,673.952497723179,729
1,674.0172751475551,733
1,674.08205030214981,766
1,674.14682318486132,755
1,674.21159379358755,770
1,674.27636212622633,770
1,674.34112818067592,772
1,674.405891954834,776
1,674.47065344659882,758
1,674.53541265386787,771
1,674.60016957453922,760
1,674.66492420651082,767
1,674.72967654768036,786
1,674.79442659594554,764
1,674.8591743492043,764
1,674.92391980535444,777
1,674.98866296229346,803
1,675.05340381791927,827
1,675.11814237012959,813
1,675.182878616822,798
1,675.24761255589408,790
1,675.31234418524355,814
1,675.377073502768,797
1,675.44180050636487,806
1,675.506525193932,818
1,675.57124756336691,797
1,675.635967612567,822
1,675.70068533942992,831
1,675.76540074185289,830
1,675.83011381773372,820
1,675.89482456496955,816
1,675.95953298145821,795
1,676.02423906509682,846
1,676.08894281378286,811
1,676.15364422541381,824
1,676.218343297887,845
1,676.28304002909977,857
1,676.34773441694938,851
1,676.41242645933335,853
1,676.47711615414892,865
1,676.54180349929345,854
1,676.60648849266408,861
1,676.67117113215818,846
1,676.7358514156731,884
1,676.80052934110586,863
1,676.86520490635382,858
1,676.92987810931425,849
1,676.99454894788437,921
1,677.05921741996133,897
1,677.12388352344226,920
1,677.18854725622441,878
1,677.2532086162048,896
1,677.31786760128091,883
1,677.38252420934941,917
1,677.447178438308,897
1,677.51183028605328,881
1,677.57647975048269,905
1,677.64112682949315,900
1,677.7057715209819,910
1,677.77041382284585,942
1,677.83505373298237,964
1,677.89969124928825,948
1,677.96432636966051,897
1,678.02895909199651,937
1,678.09358941419316,913
1,678.15821733414725,918
1,678.22284284975626,926
1,678.28746595891687,972
1,678.35208665952621,954
1,678.4167049494813,969
1,678.481320826679,974
1,678.54593428901671,952
1,678.61054533439108,972
1,678.67515396069916,977
1,678.73976016583811,981
1,678.8043639477047,981
1,678.868965304196,944
1,678.933564233209,965
1,678.99816073264071,966
1,679.062754800388,982
1,679.127346434348,1049
1,679.19193563241765,979
1,679.25652239249382,1035
1,679.32110671247335,1029
1,679.38568859025349,1044
1,679.450268023731,1022
1,679.514845010803,1024
1,679.57941954936655,1010
1,679.64399163731832,1027
1,679.70856127255536,1025
1,679.77312845297479,1032
1,679.83769317647329,1058
1,679.902255440948,1013
1,679.96681524429619,1064
1,680.03137258441427,1085
1,680.09592745919952,1029
1,680.16047986654894,1074
1,680.22502980435934,1074
1,680.289577270528,1107
1,680.35412226295136,1057
1,680.418664779527,1102
1,680.48320481815165,1134
1,680.54774237672234,1119
1,680.6122774531359,1133
1,680.6768100452897,1125
1,680.74134015108052,1112
1,680.80586776840528,1131
1,680.87039289516122,1107
1,680.93491552924525,1161
1,680.99943566855438,1124
1,681.06395331098577,1123
1,681.12846845443642,1133
1,681.19298109680324,1124
1,681.25749123598359,1168
1,681.32199886987428,1163
1,681.38650399637254,1218
1,681.4510066133754,1216
1,681.51550671877987,1160
1,681.58000431048322,1153
1,681.64449938638256,1202
1,681.70899194437493,1209
1,681.77348198235745,1171
1,681.83796949822738,1179
1,681.90245448988173,1208
1,681.96693695521776,1253
1,682.03141689213271,1255
1,682.09589429852372,1211
1,682.1603691722878,1233
1,682.22484151132244,1259
1,682.28931131352488,1250
1,682.35377857679214,1237
1,682.41824329902158,1274
1,682.48270547811057,1191
1,682.54716511195625,1281
1,682.611622198456,1237
1,682.676076735507,1306
1,682.74052872100674,1315
1,682.80497815285241,1319
1,682.86942502894158,1285
1,682.93386934717148,1327
1,682.99831110543948,1253
1,683.062750301643,1319
1,683.12718693367958,1274
1,683.19162099944629,1352
1,683.256052496841,1286
1,683.32048142376107,1350
1,683.384907778104,1318
1,683.4493315577671,1396
