Frame,Wavelength,Intensity
1,661.93187502224248,597
1,661.99703623401865,588
1,662.062195564123,587
1,662.12735301046348,593
1,662.19250857094789,587
1,662.25766224348376,586
1,662.32281402597869,577
1,662.38796391634037,591
1,662.45311191247572,589
1,662.51825801229245,586
1,662.58340221369781,583
1,662.64854451459894,593
1,662.71368491290275,589
1,662.77882340651649,588
1,662.843959993347,583
1,662.9090946713012,584
1,662.97422743828577,590
1,663.03935829220745,576
1,663.10448723097306,589
1,663.16961425248894,580
1,663.23473935466177,588
1,663.29986253539778,591
1,663.36498379260343,579
1,663.430103124185,587
1,663.49522052804855,588
1,663.56033600210037,574
1,663.62544954424629,582
1,663.69056115239255,586
1,663.75567082444491,590
1,663.82077855830914,593
1,663.885884351891,583
1,663.95098820309636,587
1,664.01609010983066,583
1,664.08119006999948,577
1,664.14628808150826,584
1,664.21138414226243,586
1,664.27647825016732,586
1,664.34157040312812,581
1,664.40666059905016,580
1,664.47174883583853,581
1,664.53683511139832,584
1,664.60191942363429,578
1,664.66700177045141,577
1,664.73208214975477,579
1,664.7971605594488,586
1,664.86223699743846,582
1,664.92731146162851,590
1,664.99238394992312,578
1,665.05745446022706,576
1,665.12252299044485,591
1,665.18758953848055,578
1,665.25265410223858,581
1,665.31771667962346,583
1,665.382777268539,578
1,665.44783586688959,584
1,665.5128924725791,591
1,665.5779470835115,584
1,665.64299969759088,588
1,665.708050312721,584
1,665.77309892680557,584
1,665.83814553774835,586
1,665.90319014345312,585
1,665.96823274182339,581
1,666.03327333076265,589
1,666.09831190817442,583
1,666.16334847196219,582
1,666.22838302002924,585
1,666.29341555027884,580
1,666.35844606061426,585
1,666.42347454893866,585
1,666.4885010131552,581
1,666.55352545116682,588
1,666.61854786087656,584
1,666.68356824018724,584
1,666.74858658700191,584
1,666.81360289922338,576
1,666.87861717475425,597
1,666.94362941149745,590
1,667.00863960735535,585
1,667.07364776023064,580
1,667.13865386802581,585
1,667.20365792864334,588
1,667.2686599399857,585
1,667.33365989995514,578
1,667.39865780645391,581
1,667.4636536573845,580
1,667.5286474506488,587
1,667.59363918414908,587
1,667.65862885578747,585
1,667.72361646346587,580
1,667.78860200508609,588
1,667.85358547855026,584
1,667.9185668817604,585
1,667.983546212618,581
1,668.04852346902476,587
1,668.11349864888268,583
1,668.17847175009308,591
1,668.24344277055775,588
1,668.30841170817826,582
1,668.37337856085583,597
1,668.43834332649215,587
1,668.50330600298855,586
1,668.56826658824616,580
1,668.63322508016654,595
1,668.6981814766508,583
1,668.76313577560006,582
1,668.82808797491532,580
1,668.893038072498,587
1,668.95798606624885,589
1,669.02293195406912,585
1,669.08787573385951,579
1,669.15281740352077,585
1,669.21775696095415,587
1,669.28269440406007,588
1,669.34762973073941,578
1,669.41256293889285,578
1,669.477494026421,584
1,669.5424229912245,589
1,669.60734983120392,580
1,669.67227454425972,585
1,669.73719712829234,592
1,669.8021175812022,584
1,669.86703590088973,583
1,669.93195208525515,588
1,669.99686613219876,576
1,670.06177803962089,580
1,670.12668780542174,583
1,670.19159542750128,598
1,670.25650090375984,591
1,670.321404232097,584
1,670.38630541041346,580
1,670.45120443660869,584
1,670.516101308583,584
1,670.5809960242359,581
1,670.64588858146737,591
1,670.71077897817736,586
1,670.77566721226549,583
1,670.84055328163151,584
1,670.90543718417507,579
1,670.97031891779591,584
1,671.03519848039355,581
1,671.10007586986762,579
1,671.16495108411755,587
1,671.22982412104284,585
1,671.29469497854313,592
1,671.35956365451761,587
1,671.42443014686569,588
1,671.48929445348676,584
1,671.55415657228,586
1,671.61901650114487,577
1,671.68387423798038,588
1,671.74872978068584,585
1,671.81358312716043,582
1,671.87843427530311,593
1,671.943283223013,581
1,672.00812996818945,591
1,672.07297450873091,588
1,672.13781684253672,592
1,672.20265696750573,586
1,672.267494881537,587
1,672.332330582529,580
1,672.39716406838113,586
1,672.46199533699155,584
1,672.52682438625948,589
1,672.59165121408364,585
1,672.65647581836254,583
1,672.72129819699478,576
1,672.78611834787921,588
1,672.85093626891444,597
1,672.915751957999,587
1,672.9805654130314,588
1,673.04537663191013,589
1,673.11018561253377,589
1,673.1749923528007,576
1,673.23979685060931,584
1,673.3045991038581,587
1,673.36939911044533,585
1,673.43419686826951,575
1,673.49899237522868,578
1,673.56378562922123,584
1,673.62857662814565,584
1,673.69336536989977,580
1,673.75815185238218,584
1,673.82293607349061,582
1,673.88771803112365,590
1,673.952497723179,585
1,674.0172751475551,586
