Wavenumber,ImaginaryRefractiveIndex
7797.4901,4.929997139392e-05
7797.00797014077,4.919984117824e-05
7796.52584028154,4.900008645504e-05
7796.04371042231,4.870020151616e-05
7795.56158056309,4.839981086912e-05
7795.07945070386,4.84999410848e-05
7794.59732084463,4.870020151616e-05
7794.1151909854,4.900008645504e-05
7793.63306112617,4.929997139392e-05
7793.15093126695,4.94001016096e-05
7792.66880140772,4.94001016096e-05
7792.18667154849,4.94001016096e-05
7791.70454168926,4.94001016096e-05
7791.22241183003,4.94001016096e-05
7790.7402819708,4.94001016096e-05
7790.25815211157,4.929997139392e-05
7789.77602225235,4.929997139392e-05
7789.29389239312,4.929997139392e-05
7788.81176253389,4.94001016096e-05
7788.32963267466,4.94001016096e-05
7787.84750281543,4.929997139392e-05
7787.3653729562,4.910021667072e-05
7786.88324309698,4.900008645504e-05
7786.40111323775,4.889995623936e-05
7785.91898337852,4.889995623936e-05
7785.43685351929,4.900008645504e-05
7784.95472366006,4.900008645504e-05
7784.47259380083,4.910021667072e-05
7783.99046394161,4.910021667072e-05
7783.50833408238,4.910021667072e-05
7783.02620422315,4.910021667072e-05
7782.54407436392,4.919984117824e-05
7782.06194450469,4.94001016096e-05
7781.57981464546,4.950023182528e-05
7781.09768478624,4.94001016096e-05
7780.61555492701,4.919984117824e-05
7780.13342506778,4.900008645504e-05
7779.65129520855,4.889995623936e-05
7779.16916534932,4.889995623936e-05
7778.68703549009,4.910021667072e-05
7778.20490563087,4.919984117824e-05
7777.72277577164,4.929997139392e-05
7777.24064591241,4.929997139392e-05
7776.75851605318,4.929997139392e-05
7776.27638619395,4.929997139392e-05
7775.79425633472,4.919984117824e-05
7775.3121264755,4.889995623936e-05
7774.82999661627,4.870020151616e-05
7774.34786675704,4.84999410848e-05
7773.86573689781,4.839981086912e-05
7773.38360703858,4.860007130048e-05
7772.90147717935,4.879982602368e-05
7772.41934732012,4.889995623936e-05
7771.9372174609,4.879982602368e-05
7771.45508760167,4.870020151616e-05
7770.97295774244,4.84999410848e-05
7770.49082788321,4.84999410848e-05
7770.00869802398,4.870020151616e-05
7769.52656816476,4.889995623936e-05
7769.04443830553,4.910021667072e-05
7768.5623084463,4.929997139392e-05
7768.08017858707,4.94001016096e-05
7767.59804872784,4.94001016096e-05
7767.11591886861,4.929997139392e-05
7766.63378900938,4.919984117824e-05
7766.15165915016,4.919984117824e-05
7765.66952929093,4.919984117824e-05
7765.1873994317,4.929997139392e-05
7764.70526957247,4.94001016096e-05
7764.22313971324,4.950023182528e-05
7763.74100985401,4.95998563328e-05
7763.25887999479,4.95998563328e-05
7762.77675013556,4.950023182528e-05
7762.29462027633,4.950023182528e-05
7761.8124904171,4.95998563328e-05
7761.33036055787,4.95998563328e-05
7760.84823069864,4.950023182528e-05
7760.36610083942,4.929997139392e-05
7759.88397098019,4.900008645504e-05
7759.40184112096,4.889995623936e-05
7758.91971126173,4.879982602368e-05
7758.4375814025,4.889995623936e-05
7757.95545154327,4.900008645504e-05
7757.47332168405,4.900008645504e-05
7756.99119182482,4.900008645504e-05
7756.50906196559,4.910021667072e-05
7756.02693210636,4.919984117824e-05
7755.54480224713,4.929997139392e-05
7755.0626723879,4.919984117824e-05
7754.58054252868,4.910021667072e-05
7754.09841266945,4.900008645504e-05
7753.61628281022,4.889995623936e-05
7753.13415295099,4.889995623936e-05
7752.65202309176,4.889995623936e-05
7752.16989323253,4.900008645504e-05
7751.68776337331,4.910021667072e-05
7751.20563351408,4.919984117824e-05
7750.72350365485,4.929997139392e-05
7750.24137379562,4.919984117824e-05
7749.75924393639,4.919984117824e-05
7749.27711407716,4.910021667072e-05
7748.79498421794,4.919984117824e-05
7748.31285435871,4.919984117824e-05
7747.83072449948,4.919984117824e-05
7747.34859464025,4.919984117824e-05
7746.86646478102,4.919984117824e-05
7746.38433492179,4.929997139392e-05
7745.90220506257,4.94001016096e-05
7745.42007520334,4.94001016096e-05
7744.93794534411,4.929997139392e-05
7744.45581548488,4.919984117824e-05
7743.97368562565,4.910021667072e-05
7743.49155576642,4.900008645504e-05
7743.00942590719,4.900008645504e-05
7742.52729604797,4.900008645504e-05
7742.04516618874,4.919984117824e-05
7741.56303632951,4.929997139392e-05
7741.08090647028,4.929997139392e-05
7740.59877661105,4.910021667072e-05
7740.11664675183,4.879982602368e-05
7739.6345168926,4.870020151616e-05
7739.15238703337,4.870020151616e-05
7738.67025717414,4.879982602368e-05
7738.18812731491,4.889995623936e-05
7737.70599745568,4.900008645504e-05
7737.22386759645,4.910021667072e-05
7736.74173773723,4.919984117824e-05
7736.259607878,4.929997139392e-05
7735.77747801877,4.929997139392e-05
7735.29534815954,4.929997139392e-05
7734.81321830031,4.919984117824e-05
7734.33108844108,4.919984117824e-05
7733.84895858186,4.919984117824e-05
7733.36682872263,4.910021667072e-05
7732.8846988634,4.919984117824e-05
7732.40256900417,4.919984117824e-05
7731.92043914494,4.929997139392e-05
7731.43830928571,4.94001016096e-05
7730.95617942649,4.929997139392e-05
7730.47404956726,4.919984117824e-05
7729.99191970803,4.900008645504e-05
7729.5097898488,4.900008645504e-05
7729.02765998957,4.900008645504e-05
7728.54553013034,4.910021667072e-05
7728.06340027112,4.919984117824e-05
7727.58127041189,4.919984117824e-05
7727.09914055266,4.919984117824e-05
7726.61701069343,4.910021667072e-05
7726.1348808342,4.900008645504e-05
7725.65275097497,4.889995623936e-05
7725.17062111575,4.889995623936e-05
7724.68849125652,4.889995623936e-05
7724.20636139729,4.910021667072e-05
7723.72423153806,4.929997139392e-05
7723.24210167883,4.950023182528e-05
7722.7599718196,4.950023182528e-05
7722.27784196038,4.94001016096e-05
7721.79571210115,4.929997139392e-05
7721.31358224192,4.910021667072e-05
7720.83145238269,4.900008645504e-05
7720.34932252346,4.889995623936e-05
7719.86719266423,4.900008645504e-05
7719.385062805,4.910021667072e-05
